lga_pid,product_id,is_accepted
VIC245,1,1
VIC245,2,1
VIC245,3,1
VIC245,4,1
VIC245,5,1
VIC245,6,1
VIC245,7,1
VIC245,8,0
VIC245,9,0
VIC245,10,0
VIC245,11,0
VIC246,1,1
VIC246,2,1
VIC246,3,1
VIC246,4,1
VIC246,5,1
VIC246,6,1
VIC246,7,1
VIC246,8,0
VIC246,9,0
VIC246,10,0
VIC246,11,0
VIC231,1,1
VIC231,2,1
VIC231,3,1
VIC231,4,1
VIC231,5,1
VIC231,6,1
VIC231,7,1
VIC231,8,0
VIC231,9,0
VIC231,10,0
VIC231,11,0
VIC226,1,1
VIC226,2,1
VIC226,3,1
VIC226,4,1
VIC226,5,1
VIC226,6,1
VIC226,7,1
VIC226,8,0
VIC226,9,0
VIC226,10,0
VIC226,11,0
VIC227,1,1
VIC227,2,1
VIC227,3,1
VIC227,4,1
VIC227,5,1
VIC227,6,1
VIC227,7,1
VIC227,8,0
VIC227,9,0
VIC227,10,0
VIC227,11,0
VIC230,1,1
VIC230,2,1
VIC230,3,1
VIC230,4,1
VIC230,5,1
VIC230,6,1
VIC230,7,1
VIC230,8,0
VIC230,9,0
VIC230,10,0
VIC230,11,0
VIC190,1,1
VIC190,2,1
VIC190,3,1
VIC190,4,1
VIC190,5,1
VIC190,6,1
VIC190,7,1
VIC190,8,0
VIC190,9,0
VIC190,10,0
VIC190,11,0
VIC191,1,1
VIC191,2,1
VIC191,3,1
VIC191,4,1
VIC191,5,1
VIC191,6,1
VIC191,7,1
VIC191,8,0
VIC191,9,0
VIC191,10,0
VIC191,11,0
VIC192,1,1
VIC192,2,1
VIC192,3,1
VIC192,4,1
VIC192,5,1
VIC192,6,1
VIC192,7,1
VIC192,8,0
VIC192,9,0
VIC192,10,0
VIC192,11,0
VIC205,1,1
VIC205,2,1
VIC205,3,1
VIC205,4,1
VIC205,5,1
VIC205,6,1
VIC205,7,1
VIC205,8,0
VIC205,9,0
VIC205,10,0
VIC205,11,0
VIC207,1,1
VIC207,2,1
VIC207,3,1
VIC207,4,1
VIC207,5,1
VIC207,6,1
VIC207,7,1
VIC207,8,0
VIC207,9,0
VIC207,10,0
VIC207,11,0
VIC232,1,1
VIC232,2,1
VIC232,3,1
VIC232,4,1
VIC232,5,1
VIC232,6,1
VIC232,7,1
VIC232,8,0
VIC232,9,0
VIC232,10,0
VIC232,11,0
VIC234,1,1
VIC234,2,1
VIC234,3,1
VIC234,4,1
VIC234,5,1
VIC234,6,1
VIC234,7,1
VIC234,8,0
VIC234,9,0
VIC234,10,0
VIC234,11,0
VIC235,1,1
VIC235,2,1
VIC235,3,1
VIC235,4,1
VIC235,5,1
VIC235,6,1
VIC235,7,1
VIC235,8,0
VIC235,9,0
VIC235,10,0
VIC235,11,0
VIC195,1,1
VIC195,2,1
VIC195,3,1
VIC195,4,1
VIC195,5,1
VIC195,6,1
VIC195,7,1
VIC195,8,0
VIC195,9,0
VIC195,10,0
VIC195,11,0
VIC196,1,1
VIC196,2,1
VIC196,3,1
VIC196,4,1
VIC196,5,1
VIC196,6,1
VIC196,7,1
VIC196,8,0
