product_id,product,image,image_small,is_accepted_default
1,Empty plastic takeaway food containers ,takeaway.jpg,takeaway_icon.jpg,1
2,Plastic bottles () ,bottle.jpg,bottle_icon.jpg,1
3,Detergent bottles (bottle only)  ,detergent.jpg,detergent_icon.jpg,1
4,"Empty plastic tubs (eg. yoghurt tubs, ice cream containers) ",tub.jpg,tub_icon.jpg,1
5,Plastic meat trays ,meat.jpg,meat_icon.jpg,1
6,Plastic plant pots ,pot.jpg,pot_icon.jpg,1
7,Plastic fruit punnets and biscuit trays ,punnet.jpg,punnet_icon.jpg,1
8,Polystyrene,poly.jpg,poly_icon.jpg,0
9,Plastic bags Soft plastics,bag.jpg,bag_icon.jpg,0
10,Plastic cutlery,cutlery.jpg,cutlery_icon.jpg,0
11,Plastic bottles tops,bottle_top.jpg,bottle_top_icon.jpg,0
